rewire_id,text,G_label_sexist,G_label_category,G_label_vectors,a_label_sexist,a_label_category,a_label_vectors,b_label_sexist,b_label_category,b_label_vectors,c_label_sexist,c_label_category,c_label_vectors
sexism2022_english-19006,"I'm a natural introvert but I have an out going side when out, Any tips on observing myself because I tend to be a dancing monkey when I'm in the moment and I feel like my response time makes me hesitate if I think about the girl, thanks",0,0,0,0,0,0,0,0,0,0,0,0
sexism2022_english-11194,"Chuck Schumer called in the big guns, didn't he? His slag niece who likes to take her clothes off.",1,2,2.2,1,3,3.1,1,2,2.1,1,3,3.1
sexism2022_english-16168,"Love the guy who pointed out that they went from having to please their husbands to having to please every jackass at their job. Yeah, you go girls, what an improvement that was.",1,4,4.2,1,2,2.1,1,3,3.4,1,4,4.2
sexism2022_english-15350,"But it’s OK if she really is a meretricious, cheating c**t, right? Just checking . . . thought I’d check first.",1,3,3.1,1,3,3.1,1,3,3.1,1,3,3.1
sexism2022_english-712,"Police raid Vatican apartment, ""Doctrine of the Faith"" and find? [URL] via [USER]",0,0,0,0,0,0,0,0,0,0,0,0
sexism2022_english-5550,"+1 on that, may the chads pay for them as they got women's best years. Well, it won't happen as Chads won't commit",1,3,3.2,0,0,0,0,0,0,0,0,0
sexism2022_english-8843,"Holy cow dude. Cheeeeel. This is just to get a girl you like back, no need to make it overcomplicated",0,0,0,0,0,0,0,0,0,0,0,0
sexism2022_english-13386,"Fuck everything effects ,minorities and women more than white males. Fuck that. Fuck off!",0,0,0,0,0,0,0,0,0,1,2,2.2
sexism2022_english-3041,"So, who is supposed to support these four wives and 23 children?",0,0,0,0,0,0,0,0,0,0,0,0
sexism2022_english-16581,This is really not her fault. IT IS THE FAULT OF THEIR BOYS. IT IS THE MEN WHO CREATED AND CONTINUE WITH THIS NASTY (muhammads mother mated with swine) CULTURE. THEY ARE BILE,0,0,0,0,0,0,0,0,0,0,0,0
sexism2022_english-87,"This amazing display of *literally* talking about a woman as a piece of meat (hamburger meat, to be exact) is one of the Escapist staff who have repeatedly worked with the Great and the Good who cannot be questioned to champion their cause.",0,0,0,0,0,0,0,0,0,0,0,0
sexism2022_english-2206,Lol at your downvotes. If you're going to shit on a group at least be self aware about it.,0,0,0,0,0,0,0,0,0,0,0,0
sexism2022_english-15516,"Her: Can I bring my friend? You: Is she hot? Her: Well..... You: No. (smile if in person, smiley face if texting). ALTERNATE You: Is she hot? Her: Yes You: Cool. I'll tell my buddy to come, too. OR Is she ok with threesomes (not for amateurs).",0,0,0,1,2,2.3,1,3,3.2,1,3,3.2
sexism2022_english-17576,No respectable lady should be without one in the winter.,0,0,0,0,0,0,1,3,3.3,1,4,4.1
sexism2022_english-7553,WMAF have infested everywhere. I'm predicting more Buckners in the future. How many would you say you see per day though?,0,0,0,0,0,0,0,0,0,0,0,0
